,identifiant,Prénom,Nom,Région,Département,Numéro de circonscription,Profession,Groupe politique (complet),Groupe politique (abrégé)
26,794530,Matthieu,Marchio,Hauts-de-France,Nord,16,Cadre administratif et commercial d'entreprise,Rassemblement National,RN
27,794114,Emmanuel,Mandon,Auvergne-Rhône-Alpes,Loire,3,Conseiller d'insertion professionnelle,Démocrate (MoDem et Indépendants),Dem
28,643192,Chantal,Jourdan,Normandie,Orne,1,Psychologue,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
29,793500,Benoît,Bordat,Bourgogne-Franche-Comté,Côte-d'Or,2,Conseiller foncier agricole,Renaissance,RE
30,721678,Robin,Reda,Ile-de-France,Essonne,7,,Renaissance,RE
31,720370,Ludovic,Mendes,Grand Est,Moselle,2,Cadre supérieur (secteur privé),Renaissance,RE
32,791812,Sophia,Chikirou,Ile-de-France,Paris,6,Chef d'entreprise de 10 salariés ou plus,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
33,720430,Ugo,Bernalicis,Hauts-de-France,Nord,2,Fonctionnaire de catégorie A,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
34,722054,Nadia,Hai,Ile-de-France,Yvelines,7,Conseil en gestion de patrimoine,Renaissance,RE
35,720022,Michel,Lauzzana,Nouvelle-Aquitaine,Lot-et-Garonne,1,Médecin,Renaissance,RE
36,793314,Alexandra,Masson,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,4,Profession libérale,Rassemblement National,RN
37,795966,Stéphane,Rambaud,Provence-Alpes-Côte d'Azur,Var,3,Retraité de la police nationale,Rassemblement National,RN
38,795508,Émilie,Chandler,Ile-de-France,Val-d'Oise,1,Profession libérale,Renaissance,RE
39,793416,Freddy,Sertin,Normandie,Calvados,6,Directeur Général d'un établissement de santé,Renaissance,RE
40,794870,Sylvie,Ferrer,Occitanie,Hautes-Pyrénées,1,,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
41,793624,Philippe,Brun,Normandie,Eure,4,Magistrat administratif,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
42,608016,Véronique,Louwagie,Normandie,Orne,2,Expert-comptable,Les Républicains,LR
43,643134,Isabelle,Valentin,Auvergne-Rhône-Alpes,Haute-Loire,1,Salariée agricole,Les Républicains,LR
44,718710,Pascale,Boyer,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1,"Contremaître, agent de maîtrise",Renaissance,RE
45,722142,François,Ruffin,Hauts-de-France,Somme,1,Reporter,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
46,794458,Martine,Etienne,Grand Est,Meurthe-et-Moselle,3,Ancien employé,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
47,795318,Louis,Boyard,Ile-de-France,Val-de-Marne,3,"Elève, étudiant",La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
48,608172,Christine,Pires Beaune,Auvergne-Rhône-Alpes,Puy-de-Dôme,2,Fonctionnaire de catégorie A,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
49,793452,Hendrik,Davi,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,5,"Professeur, profession scientifique",La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
50,795636,Benjamin,Lucas,Ile-de-France,Yvelines,8,,Écologiste - NUPES,Ecolo - NUPES
51,719006,Fabrice,Le Vigoureux,Normandie,Calvados,1,Professeur des Universités,Renaissance,RE
52,721852,Marie,Lebec,Ile-de-France,Yvelines,4,Consultante en affaires publiques,Renaissance,RE
53,720230,Lise,Magnier,Grand Est,Marne,4,cadre territorial,Horizons et apparentés,HOR
54,793238,Christophe,Barthès,Occitanie,Aude,1,Agriculteur sur moyenne exploitation,Rassemblement National,RN
55,774954,Anne-Laure,Blin,Pays de la Loire,Maine-et-Loire,3,Juriste,Les Républicains,LR
56,793174,Yannick,Monnet,Auvergne-Rhône-Alpes,Allier,1,Cadre de la fonction publique,Gauche démocrate et républicaine - NUPES,GDR - NUPES
