Name,Constituency,Party,Image Link,Deputy ID,Constituency_no_code
Hervé de Lépinau,Vaucluse (84),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_642988.png,642988,Vaucluse
Jocelyn Dessigny,Aisne (02),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793166.png,793166,Aisne
Edwige Diaz,Gironde (33),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793928.png,793928,Gironde
Sandrine Dogor-Such,Pyrénées-Orientales (66),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794762.png,794762,Pyrénées-Orientales
Nicolas Dragon,Aisne (02),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793146.png,793146,Aisne
Christine Engrand,Pas-de-Calais (62),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794718.png,794718,Pas-de-Calais
Frédéric Falcon,Aude (11),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793246.png,793246,Aude
Thibaut François,Nord (59),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794538.png,794538,Nord
Thierry Frappé,Pas-de-Calais (62),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794678.png,794678,Pas-de-Calais
Anne-Sophie Frigout,Marne (51),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794286.png,794286,Marne
Stéphanie Galzy,Hérault (34),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793892.png,793892,Hérault
Frank Giletti,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_796034.png,796034,Var
Yoann Gillet,Gard (30),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793832.png,793832,Gard
Christian Girard,Alpes-de-Haute-Provence (04),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793102.png,793102,Alpes-de-Haute-Provence
José Gonzalez,Bouches-du-Rhône (13),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793362.png,793362,Bouches-du-Rhône
Florence Goulet,Meuse (55),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794418.png,794418,Meuse
Géraldine Grangier,Doubs (25),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793592.png,793592,Doubs
Daniel Grenon,Yonne (89),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795540.png,795540,Yonne
Michel Guiniot,Oise (60),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794734.png,794734,Oise
Jordan Guitton,Aube (10),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793218.png,793218,Aube
Marine Hamelet,Tarn-et-Garonne (82),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795900.png,795900,Tarn-et-Garonne
Joris Hébrard,Vaucluse (84),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_796110.png,796110,Vaucluse
Timothée Houssin,Eure (27),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793632.png,793632,Eure
Laurent Jacobelli,Moselle (57),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794598.png,794598,Moselle
Catherine Jaouen,Vaucluse (84),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_796114.png,796114,Vaucluse
Alexis Jolly,Isère (38),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794030.png,794030,Isère
