Name,Constituency,Party,Image Link,Deputy ID
Timothée Houssin,Eure (27),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793632.png,793632
Laurent Jacobelli,Moselle (57),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794598.png,794598
Catherine Jaouen,Vaucluse (84),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_796114.png,796114
Alexis Jolly,Isère (38),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794030.png,794030
Hélène Laporte,Lot-et-Garonne (47),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794354.png,794354
Laure Lavalette,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795912.png,795912
Marine Le Pen,Pas-de-Calais (62),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_720614.png,720614
Julie Lechanteux,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_796026.png,796026
Gisèle Lelouis,Bouches-du-Rhône (13),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793290.png,793290
Katiana Levavasseur,Eure (27),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793608.png,793608
Christine Loir,Eure (27),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793672.png,793672
Aurélien Lopez-Liguori,Hérault (34),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793904.png,793904
Marie-France Lorho,Vaucluse (84),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_721932.png,721932
Philippe Lottiaux,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795974.png,795974
Alexandre Loubet,Moselle (57),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794590.png,794590
Matthieu Marchio,Nord (59),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794530.png,794530
Michèle Martinez,Pyrénées-Orientales (66),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794770.png,794770
Alexandra Masson,Alpes-Maritimes (06),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793314.png,793314
Bryan Masson,Alpes-Maritimes (06),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793330.png,793330
Kévin Mauvieux,Eure (27),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793616.png,793616
Nicolas Meizonnet,Gard (30),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_719436.png,719436
Joëlle Mélin,Bouches-du-Rhône (13),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793354.png,793354
Yaël Menache,Somme (80),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795786.png,795786
Thomas Ménagé,Loiret (45),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794322.png,794322
Pierre Meurin,Gard (30),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793852.png,793852
Serge Muller,Dordogne (24),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793696.png,793696
Julien Odoul,Yonne (89),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795552.png,795552
Mathilde Paris,Loiret (45),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794314.png,794314
Caroline Parmentier,Pas-de-Calais (62),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794670.png,794670
Kévin Pfeffer,Moselle (57),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794582.png,794582
Lisette Pollet,Drôme (26),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793656.png,793656
Stéphane Rambaud,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795966.png,795966
Angélique Ranc,Aube (10),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793230.png,793230
Julien Rancoule,Aude (11),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793254.png,793254
Laurence Robert-Dehault,Haute-Marne (52),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794442.png,794442
Béatrice Roullaud,Seine-et-Marne (77),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795410.png,795410
Anaïs Sabatini,Pyrénées-Orientales (66),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794894.png,794894
Alexandre Sabatou,Oise (60),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794570.png,794570
Emeric Salmon,Haute-Saône (70),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794954.png,794954
Philippe Schreck,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_796050.png,796050
Emmanuel Taché de la Pagerie,Bouches-du-Rhône (13),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793382.png,793382
Jean-Philippe Tanguy,Somme (80),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795778.png,795778
Michaël Taverne,Nord (59),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794502.png,794502
Lionel Tivoli,Alpes-Maritimes (06),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793298.png,793298
Antoine Villedieu,Haute-Saône (70),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794946.png,794946
