Name,Constituency,Party,Image Link
Julie Lechanteux,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_796026.png
Gisèle Lelouis,Bouches-du-Rhône (13),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793290.png
Katiana Levavasseur,Eure (27),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793608.png
Christine Loir,Eure (27),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793672.png
Aurélien Lopez-Liguori,Hérault (34),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793904.png
Marie-France Lorho,Vaucluse (84),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_721932.png
Philippe Lottiaux,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795974.png
Alexandre Loubet,Moselle (57),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794590.png
Matthieu Marchio,Nord (59),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794530.png
Michèle Martinez,Pyrénées-Orientales (66),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794770.png
Alexandra Masson,Alpes-Maritimes (06),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793314.png
Bryan Masson,Alpes-Maritimes (06),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793330.png
Kévin Mauvieux,Eure (27),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793616.png
Nicolas Meizonnet,Gard (30),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_719436.png
Joëlle Mélin,Bouches-du-Rhône (13),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793354.png
Yaël Menache,Somme (80),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795786.png
Thomas Ménagé,Loiret (45),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794322.png
Pierre Meurin,Gard (30),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793852.png
Serge Muller,Dordogne (24),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793696.png
Julien Odoul,Yonne (89),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795552.png
Mathilde Paris,Loiret (45),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794314.png
Caroline Parmentier,Pas-de-Calais (62),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794670.png
Kévin Pfeffer,Moselle (57),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794582.png
Lisette Pollet,Drôme (26),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793656.png
Stéphane Rambaud,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795966.png
Angélique Ranc,Aube (10),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793230.png
Julien Rancoule,Aude (11),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793254.png
Laurence Robert-Dehault,Haute-Marne (52),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794442.png
Béatrice Roullaud,Seine-et-Marne (77),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795410.png
Anaïs Sabatini,Pyrénées-Orientales (66),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794894.png
Alexandre Sabatou,Oise (60),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794570.png
Emeric Salmon,Haute-Saône (70),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794954.png
Philippe Schreck,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_796050.png
Emmanuel Taché de la Pagerie,Bouches-du-Rhône (13),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793382.png
Jean-Philippe Tanguy,Somme (80),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795778.png
Michaël Taverne,Nord (59),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794502.png
Lionel Tivoli,Alpes-Maritimes (06),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793298.png
Antoine Villedieu,Haute-Saône (70),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794946.png
